00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00
22.49080237694725,34.01428612819832,29.6398788362281,26.973169683940732,18.12037280884873,18.119890406724053,16.161672243363988,32.3235229154987,27.022300234864176,29.16145155592091,15.411689885916049,34.39819704323989,31.648852816008436,19.246782213565524,18.636499344142013,18.668090197068675,21.084844859190753,25.495128632644757,23.638900372842315,20.824582803960837,27.237057894447588,17.789877213040835,20.842892970704362,22.327236865873836
24.12139968434072,30.703519227860273,18.993475643167194,25.284688768272233,26.848291377240848,15.929008254399955,27.150897038028766,18.41048247374583,16.30103185970559,33.977710745066666,34.31264066149119,31.16794696232922,21.092275383467413,16.95344228012768,28.684660530243136,23.803049874792027,17.440764696895577,24.903538202225405,15.687770422304368,33.186408041575646,20.17559963200034,28.25044568707964,21.23422152178822,25.401360423556216
25.934205586865595,18.69708911051054,34.39169255529117,30.50265646722229,33.78997883128378,32.89654700855297,26.957999576221702,33.437484700462335,16.76985004103839,18.919657248382904,15.90454577821076,21.506606615265287,22.77354579378964,20.426980635477918,31.57475018303859,22.135066533871786,20.618690193747614,25.853921663164968,17.818484499495252,31.043939615080795,16.491012873595416,34.73773873201034,30.444895385933147,18.974313630683447
15.110442342472048,31.309228569096682,29.137146876952343,29.580143360819747,30.425406933718914,16.480893034681806,22.169314570885454,17.317381190502594,32.26206851751187,27.46596253655116,21.617960497052984,16.27116700572047,21.219646434313244,21.503666440534943,29.59212356676128,27.751149427104263,32.744254851526534,24.444298503238986,17.391884918766035,29.2648957444599,30.21570097233795,26.225543951389923,30.41934359909122,24.875911927287817
25.45465658763988,23.550820367170992,15.508382534881903,17.157828539866088,15.628583713734685,27.72820822527561,21.287119621526536,25.171413823294056,33.15132947852186,19.9858445829775,23.207658460712594,30.111022770860973,19.57596330983245,16.53959819657586,20.79502905827536,18.22442574508009,33.59395304685146,31.16240759128834,27.66807513020847,32.429211803754356,31.07344153798229,18.731401177720716,32.85117996979956,25.786844838313016
31.14880310328125,32.92182599846986,21.360069499437277,17.201038490553536,19.558703250838832,23.542155772525128,31.36029531844986,32.21461166512687,15.139042610623815,25.214946051551316,23.348220062975578,19.442156209414605,17.397307346673657,21.75230342807256,33.858194078250385,21.464058640415104,25.37581243486732,29.060379177903556,22.27259204758588,34.435641654419214,34.24894589884222,20.035645916507285,24.94497011784771,21.017566196335395
20.696809887549353,15.737738947090655,27.191286679597937,25.05358046457723,16.029575024999787,20.57292928473223,33.165317719333075,19.79123781333945,17.897897441824462,24.78905520555126,34.71300908221201,19.84110543023001,28.442710948117572,30.23239230657435,19.752750879847994,29.56432697223719,22.355662654385064,27.64611661187159,27.670594215217896,25.71549368149517,16.805795401088165,31.70604991178476,21.415601299434716,18.730370207997083
15.815502831095278,26.817858863764837,28.55128723684565,15.331756578557123,25.24186116598562,19.529915503958758,27.903455808188998,18.487328580099827,28.81875476204932,22.734706926010748,33.73459977473469,17.750418882919867,21.82132702100517,17.269470424811782,33.49387236557126,32.54678706761962,20.15883255430311,28.19968092068358,31.344444004024318,26.10401623198925,25.59301156712013,19.837045818009035,16.862055356117985,32.944315159066534
33.00836114326661,27.66202914546536,21.780595820974014,21.984191492253217,29.519113577404788,32.94220519905154,32.741728485302346,30.597510917152476,27.840632923085757,16.682799299900978,18.232574281892276,32.97108377054158,27.1285811931918,15.183941032332593,17.02943085732064,28.270035382161115,15.101231676924375,18.216161028349973,25.974675787331723,28.837903953853864,28.03922519005201,19.485386189211198,29.24358442695072,19.744981749936002
21.507993963185356,29.92982810236048,27.992657980944294,31.98446820988356,28.15225784600687,26.36617206670943,16.87349535656185,22.35431606118867,20.30404735363451,19.87979286758167,34.46021109504891,22.861954493335208,32.84093110354227,27.622772519945258,30.896226070832967,25.052741862103844,26.53807769252718,24.850353876377277,18.90485975596089,29.44904230523011,20.615447248817116,15.486319328629076,27.909445918143355,18.542213588140978
